league_name,team_long_name_home,team_short_name_home,team_long_name_away,team_short_name_away,home_players_average_rating,home_team_score,home_team_prob_receive_red_cards,home_team_prob_case_win,away_players_average_rating,away_team_score,away_team_prob_receive_red_cards,away_team_prob_case_win,home_avg_bet,draw_avg_bet,away_avg_bet,match_result
Belgium Jupiler League,KV Mechelen,MEC,Waasland-Beveren,WAA,66.45,48.38,0.0,43.10344827586207,63.0,40.12,0.0,13.636363636363637,0.6069010673223442,0.2776936643828229,0.1960214884304601,1
Belgium Jupiler League,KV Mechelen,MEC,KV Oostende,OOS,67.09,48.38,0.0,43.10344827586207,68.0,47.38,0.0,32.0,0.4430426891151796,0.282230450630153,0.3523981377222862,1
Belgium Jupiler League,KV Mechelen,MEC,Royal Excel Mouscron,MOP,66.64,48.38,0.0,43.10344827586207,63.09,48.75,0.0,27.27272727272728,0.5526609373312379,0.2710817041125952,0.2581694016328528,1
Belgium Jupiler League,KV Mechelen,MEC,KSV Roeselare,ROS,66.45,48.38,0.0,43.10344827586207,66.45,48.38,0.0,50.0,0.3881552207331786,0.271271554954574,0.422468626029896,-1
Belgium Jupiler League,Standard de Liège,STL,RSC Anderlecht,AND,69.18,55.0,0.0,59.67741935483871,72.36,53.38,0.0,56.45161290322581,0.3540403159372134,0.2606637069425927,0.4626243141751331,-1
Belgium Jupiler League,Standard de Liège,STL,KV Mechelen,MEC,67.18,55.0,0.0,59.67741935483871,67.0,48.38,0.0,25.806451612903224,0.5498857031040455,0.2649496696837342,0.2659364082902293,1
Belgium Jupiler League,Standard de Liège,STL,Beerschot AC,BAC,67.73,59.38,0.0,59.67741935483871,65.0,49.12,0.0,10.526315789473683,0.6632616264401494,0.2642833653056106,0.1525077364801782,1
Belgium Jupiler League,Standard de Liège,STL,KRC Genk,GEN,69.36,55.0,0.0,59.67741935483871,68.36,51.75,0.0,27.41935483870968,0.557125298203693,0.2614930715077324,0.2585530441568349,1
Belgium Jupiler League,Standard de Liège,STL,SV Zulte-Waregem,ZUL,69.36,55.0,0.0,59.67741935483871,66.27,46.88,0.0,32.142857142857146,0.5797338182805305,0.253043666141526,0.2467606848483928,1
Belgium Jupiler League,Standard de Liège,STL,Sporting Lokeren,LOK,68.91,55.0,0.0,59.67741935483871,67.64,52.12,0.0,36.66666666666666,0.5251027125919713,0.2564696544150345,0.2978481471956507,1
Belgium Jupiler League,Standard de Liège,STL,KV Kortrijk,KOR,68.64,55.0,0.0,59.67741935483871,66.82,45.75,0.0,25.42372881355932,0.5826725958618661,0.2600366831692101,0.2364252050239283,1
Belgium Jupiler League,Standard de Liège,STL,Sint-Truidense VV,STT,70.0,59.38,0.0,59.67741935483871,63.3,46.75,0.0,12.0,0.734287706353846,0.2514296083897681,0.093263968379303,1
Belgium Jupiler League,Standard de Liège,STL,KAA Gent,GEN,67.09,55.0,0.0,59.67741935483871,66.73,47.62,0.0,37.28813559322034,0.5064420944355882,0.2591239721654003,0.3168959382706231,1
Belgium Jupiler League,Standard de Liège,STL,KSV Cercle Brugge,CEB,69.82,55.0,0.0,59.67741935483871,63.45,52.0,0.0,16.363636363636363,0.7099429819974424,0.2504277683780876,0.1192084830019918,1
Belgium Jupiler League,Standard de Liège,STL,Club Brugge KV,CLB,69.27,55.0,0.0,59.67741935483871,70.09,48.88,0.0,38.23529411764706,0.4762119267596683,0.261975063475791,0.3388624459034555,1
Belgium Jupiler League,Standard de Liège,STL,KVC Westerlo,WES,67.36,55.0,0.0,59.67741935483871,65.09,49.0,0.0,22.22222222222222,0.6064086517183531,0.260311464971779,0.2150711812205945,1
Belgium Jupiler League,Standard de Liège,STL,Sporting Charleroi,CHA,69.0,55.0,0.0,59.67741935483871,64.27,49.75,0.0,27.58620689655172,0.6318541911687454,0.2502666543992056,0.1990473486974859,1
Belgium Jupiler League,Standard de Liège,STL,KAS Eupen,EUP,68.09,55.0,0.0,59.67741935483871,68.09,55.0,0.0,25.0,0.548487527934396,0.2657563588795131,0.2643983830857359,1
Belgium Jupiler League,Standard de Liège,STL,Lierse SK,LIE,69.27,55.0,0.0,59.67741935483871,62.73,56.0,0.0,11.904761904761903,0.732339291311176,0.2520380987724462,0.0959611112429019,1
Belgium Jupiler League,Standard de Liège,STL,Oud-Heverlee Leuven,O-H,68.09,59.38,0.0,59.67741935483871,65.27,49.5,0.0,18.75,0.6308531851883336,0.2601783894081421,0.1893216940620656,1
Belgium Jupiler League,Standard de Liège,STL,RAEC Mons,MON,69.09,55.75,0.0,59.67741935483871,63.91,50.75,0.0,33.333333333333336,0.6171813087087277,0.2462551686682771,0.2186109756295737,1
Belgium Jupiler League,Standard de Liège,STL,Waasland-Beveren,WAA,69.0,55.0,0.0,59.67741935483871,64.73,40.12,0.0,13.636363636363637,0.6799171330608068,0.2580813237748651,0.1411327122651317,1
Belgium Jupiler League,Standard de Liège,STL,KV Oostende,OOS,68.64,55.0,0.0,59.67741935483871,68.91,47.38,0.0,32.0,0.5136412864414606,0.2632739346921686,0.3011794970486875,1
Belgium Jupiler League,Standard de Liège,STL,Royal Excel Mouscron,MOP,68.09,55.0,0.0,59.67741935483871,64.64,48.75,0.0,27.27272727272728,0.6085038414416514,0.2543569897282023,0.2190395206642612,1
Belgium Jupiler League,Standard de Liège,STL,KSV Roeselare,ROS,68.09,55.0,0.0,59.67741935483871,68.09,55.0,0.0,50.0,0.4457801829990424,0.2542248139162685,0.3815731493773577,1
Belgium Jupiler League,Beerschot AC,BAC,RSC Anderlecht,AND,61.73,49.12,0.0,30.76923076923077,70.45,48.75,0.0,56.45161290322581,0.1476757827258148,0.3075495077559179,0.6273284863455455,-1
Belgium Jupiler League,Beerschot AC,BAC,KV Mechelen,MEC,64.82,49.12,0.0,30.76923076923077,65.7,52.0,0.0,25.806451612903224,0.4274670842352718,0.2978048415130385,0.354100921901695,1
Belgium Jupiler League,Beerschot AC,BAC,Standard de Liège,STL,66.09,49.12,0.0,30.76923076923077,67.18,59.38,0.0,30.76923076923077,0.4013317934065482,0.2959987368333728,0.3798210666022694,-1
Belgium Jupiler League,Beerschot AC,BAC,KRC Genk,GEN,64.82,49.38,0.0,30.76923076923077,70.09,51.75,0.0,27.41935483870968,0.3325911853784807,0.3102322029895675,0.4329326972958761,-1
Belgium Jupiler League,Beerschot AC,BAC,SV Zulte-Waregem,ZUL,66.0,49.12,0.0,30.76923076923077,66.64,50.75,0.0,32.142857142857146,0.404842708183956,0.2940254182164539,0.3790207465942848,-1
Belgium Jupiler League,Beerschot AC,BAC,Sporting Lokeren,LOK,65.73,49.12,0.0,30.76923076923077,67.09,52.38,0.0,36.66666666666666,0.3721080891220213,0.2941302340925141,0.4121149859436566,-1
Belgium Jupiler League,Beerschot AC,BAC,KV Kortrijk,KOR,64.73,49.12,0.0,30.76923076923077,64.91,46.88,0.0,25.42372881355932,0.4432192021264503,0.2958915838134811,0.3410098333691905,1
Belgium Jupiler League,Beerschot AC,BAC,Sint-Truidense VV,STT,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,12.0,0.5041720192228126,0.3017540839801583,0.2765316489633648,1
Belgium Jupiler League,Beerschot AC,BAC,KAA Gent,GEN,66.27,49.12,0.0,30.76923076923077,67.82,51.25,0.0,37.28813559322034,0.365086930448576,0.2943511160450631,0.417708654120747,-1
Belgium Jupiler League,Beerschot AC,BAC,KSV Cercle Brugge,CEB,62.91,49.38,0.0,30.76923076923077,62.18,53.25,0.0,16.363636363636363,0.5009196847409756,0.2975510837087911,0.2851323448073273,1
Belgium Jupiler League,Beerschot AC,BAC,Club Brugge KV,CLB,63.36,49.12,0.0,30.76923076923077,68.73,54.5,0.0,38.23529411764706,0.2878992990247057,0.305712278002448,0.4863422262311759,-1
Belgium Jupiler League,Beerschot AC,BAC,KVC Westerlo,WES,65.6,48.0,0.0,30.76923076923077,63.91,53.38,0.0,22.22222222222222,0.4929186136910294,0.2916570291179177,0.2949941542988359,1
Belgium Jupiler League,Beerschot AC,BAC,Sporting Charleroi,CHA,64.91,51.88,0.0,30.76923076923077,62.73,56.0,0.0,27.58620689655172,0.4815606411475043,0.2877925605467049,0.3126958920271872,1
Belgium Jupiler League,Beerschot AC,BAC,KAS Eupen,EUP,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,25.0,0.4507641998564287,0.2957576805992712,0.3374625274350081,1
Belgium Jupiler League,Beerschot AC,BAC,Lierse SK,LIE,64.9,48.0,0.0,30.76923076923077,63.8,50.25,0.0,11.904761904761903,0.5242860217059168,0.2982672974872233,0.2567384980284404,1
Belgium Jupiler League,Beerschot AC,BAC,Oud-Heverlee Leuven,O-H,65.64,49.12,0.0,30.76923076923077,64.09,49.5,0.0,18.75,0.5043211453987416,0.2936740442651983,0.2809628833096163,1
Belgium Jupiler League,Beerschot AC,BAC,RAEC Mons,MON,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,33.333333333333336,0.4165284182113108,0.2919138322781897,0.3765207828655488,-1
Belgium Jupiler League,Beerschot AC,BAC,Waasland-Beveren,WAA,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,13.636363636363637,0.4974493566452258,0.3009992919462005,0.2842012700297255,1
Belgium Jupiler League,Beerschot AC,BAC,KV Oostende,OOS,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,32.0,0.4220061432745297,0.2925288480095627,0.3702714619966623,-1
Belgium Jupiler League,Beerschot AC,BAC,Royal Excel Mouscron,MOP,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,27.27272727272728,0.4414271684986692,0.2947093583298853,0.3481147789160647,1
Belgium Jupiler League,Beerschot AC,BAC,KSV Roeselare,ROS,62.91,49.38,0.0,30.76923076923077,62.91,49.38,0.0,50.0,0.3480568549210751,0.2842261356360266,0.45463729372663,-1
Belgium Jupiler League,KRC Genk,GEN,RSC Anderlecht,AND,67.09,51.75,0.0,61.90476190476191,73.36,53.38,0.0,56.45161290322581,0.3024426539520563,0.2679112421277432,0.5090226819504624,-1
Belgium Jupiler League,KRC Genk,GEN,KV Mechelen,MEC,67.91,51.75,0.0,61.90476190476191,66.91,48.38,0.0,25.806451612903224,0.5735017717713062,0.260139546861571,0.2467466710971486,1
Belgium Jupiler League,KRC Genk,GEN,Standard de Liège,STL,66.64,51.75,0.0,61.90476190476191,67.55,55.0,0.0,30.76923076923077,0.5162428250891951,0.2637280139638859,0.3019659490360116,1
Belgium Jupiler League,KRC Genk,GEN,Beerschot AC,BAC,67.64,51.75,0.0,61.90476190476191,65.73,49.12,0.0,10.526315789473683,0.6548945211901318,0.2644886715727051,0.1605567818071678,1
Belgium Jupiler League,KRC Genk,GEN,SV Zulte-Waregem,ZUL,68.27,51.75,0.0,61.90476190476191,66.18,46.88,0.0,32.142857142857146,0.5689492446183312,0.2539047970785941,0.2584798656671124,1
Belgium Jupiler League,KRC Genk,GEN,Sporting Lokeren,LOK,67.73,51.75,0.0,61.90476190476191,67.64,52.12,0.0,36.66666666666666,0.510807790572998,0.2578812592765332,0.3125569504860849,1
Belgium Jupiler League,KRC Genk,GEN,KV Kortrijk,KOR,65.91,51.75,0.0,61.90476190476191,66.0,45.75,0.0,25.42372881355932,0.5555644069245553,0.2638179531224279,0.2641447508975708,1
Belgium Jupiler League,KRC Genk,GEN,Sint-Truidense VV,STT,70.18,51.75,0.0,61.90476190476191,64.4,46.75,0.0,12.0,0.7235860981412214,0.2519036870877536,0.1027346137977039,1
Belgium Jupiler League,KRC Genk,GEN,KAA Gent,GEN,66.82,51.75,0.0,61.90476190476191,68.73,48.0,0.0,37.28813559322034,0.4691426559784372,0.2637005570353558,0.3486204935131466,1
Belgium Jupiler League,KRC Genk,GEN,KSV Cercle Brugge,CEB,69.45,51.75,0.0,61.90476190476191,63.91,52.0,0.0,16.363636363636363,0.701711123311593,0.2506954932936356,0.1276292680053141,1
Belgium Jupiler League,KRC Genk,GEN,Club Brugge KV,CLB,69.73,51.75,0.0,61.90476190476191,69.45,48.88,0.0,38.23529411764706,0.5057809337737977,0.2563561136028102,0.3153287896327442,1
Belgium Jupiler League,KRC Genk,GEN,KVC Westerlo,WES,67.73,51.75,0.0,61.90476190476191,66.91,49.0,0.0,22.22222222222222,0.5848245778162634,0.2623537081855948,0.2330043474068151,1
Belgium Jupiler League,KRC Genk,GEN,Sporting Charleroi,CHA,68.27,51.75,0.0,61.90476190476191,65.82,49.38,0.0,27.58620689655172,0.5949061733307369,0.254926496526623,0.2312782505873342,1
Belgium Jupiler League,KRC Genk,GEN,KAS Eupen,EUP,66.64,51.75,0.0,61.90476190476191,66.64,51.75,0.0,25.0,0.5582377211835993,0.2636588635905617,0.2601516723674446,1
Belgium Jupiler League,KRC Genk,GEN,Lierse SK,LIE,69.36,51.75,0.0,61.90476190476191,62.82,56.0,0.0,11.904761904761903,0.7402399954233758,0.2497623176064226,0.0905627631061237,1
Belgium Jupiler League,KRC Genk,GEN,Oud-Heverlee Leuven,O-H,68.18,51.75,0.0,61.90476190476191,64.82,49.5,0.0,18.75,0.6496091954533187,0.2562824443823389,0.1751563889666305,1
Belgium Jupiler League,KRC Genk,GEN,RAEC Mons,MON,67.73,51.75,0.0,61.90476190476191,65.55,48.38,0.0,33.333333333333336,0.5665161585260831,0.2531481644069301,0.26300227786277,1
Belgium Jupiler League,KRC Genk,GEN,Waasland-Beveren,WAA,68.45,51.75,0.0,61.90476190476191,65.73,40.12,0.0,13.636363636363637,0.6574277068928851,0.2605301057791277,0.161377380184322,1
Belgium Jupiler League,KRC Genk,GEN,KV Oostende,OOS,68.0,51.75,0.0,61.90476190476191,65.0,47.38,0.0,32.0,0.5881536059240321,0.2512716734006808,0.2432382600446203,1
Belgium Jupiler League,KRC Genk,GEN,Royal Excel Mouscron,MOP,66.91,51.75,0.0,61.90476190476191,66.45,48.75,0.0,27.27272727272728,0.5578235413920467,0.2611991438234066,0.263133864871676,1
Belgium Jupiler League,KRC Genk,GEN,KSV Roeselare,ROS,66.64,51.75,0.0,61.90476190476191,66.64,51.75,0.0,50.0,0.4555303762482456,0.2521273186273172,0.3773264386590665,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,RSC Anderlecht,AND,66.64,46.88,0.0,37.87878787878788,72.27,53.38,0.0,56.45161290322581,0.229459137712818,0.2904792264695549,0.5564738248026139,-1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KV Mechelen,MEC,66.3,46.88,0.0,37.87878787878788,66.55,48.38,0.0,25.806451612903224,0.4639178056849335,0.2885123979706655,0.3257496304509927,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Standard de Liège,STL,66.09,46.88,0.0,37.87878787878788,67.55,55.0,0.0,30.76923076923077,0.4194575271734349,0.2898779364091053,0.368811649058718,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Beerschot AC,BAC,65.18,50.75,0.0,37.87878787878788,63.64,49.12,0.0,10.526315789473683,0.5640215055753063,0.2903196601935876,0.225908492369181,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KRC Genk,GEN,66.36,46.88,0.0,37.87878787878788,67.27,51.75,0.0,27.41935483870968,0.4439518709392395,0.2897416813979366,0.3439795934181934,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Sporting Lokeren,LOK,66.36,46.88,0.0,37.87878787878788,66.91,52.12,0.0,36.66666666666666,0.4131980678822127,0.2843961404727544,0.3814770195364197,-1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KV Kortrijk,KOR,66.0,46.88,0.0,37.87878787878788,66.27,45.75,0.0,25.42372881355932,0.4654483851032021,0.288783670461324,0.3245048593295219,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Sint-Truidense VV,STT,62.91,50.5,0.0,37.87878787878788,63.27,49.62,0.0,12.0,0.5224987771777134,0.2956032805214506,0.2653598803650236,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KAA Gent,GEN,65.09,46.88,0.0,37.87878787878788,67.09,48.0,0.0,37.28813559322034,0.3830216117384003,0.2886069485553739,0.4088804684920182,-1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KSV Cercle Brugge,CEB,65.73,46.88,0.0,37.87878787878788,64.82,52.0,0.0,16.363636363636363,0.5267150219873961,0.2894536448491714,0.2630847767047879,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Club Brugge KV,CLB,65.0,46.88,0.0,37.87878787878788,69.0,48.88,0.0,38.23529411764706,0.3390336556719102,0.2941810867034807,0.4458573060851361,-1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KVC Westerlo,WES,66.64,46.88,0.0,37.87878787878788,64.45,49.0,0.0,22.22222222222222,0.5272844461642172,0.28280556384529,0.2690824658228279,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Sporting Charleroi,CHA,66.27,46.88,0.0,37.87878787878788,64.0,49.75,0.0,27.58620689655172,0.5073001724810307,0.2801341732701171,0.2932012955158036,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KAS Eupen,EUP,64.82,46.88,0.0,37.87878787878788,64.82,46.88,0.0,25.0,0.4740339816631803,0.2883056471051208,0.3190177913387029,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Lierse SK,LIE,65.6,46.88,0.0,37.87878787878788,62.91,56.0,0.0,11.904761904761903,0.580971819443196,0.2861848632776121,0.2133848021922023,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Oud-Heverlee Leuven,O-H,64.82,46.88,0.0,37.87878787878788,64.82,46.88,0.0,18.75,0.4997108178970186,0.291188533345932,0.2897240997657975,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,RAEC Mons,MON,65.09,50.75,0.0,37.87878787878788,64.91,48.38,0.0,33.333333333333336,0.4430923743198625,0.2838904862506001,0.3549518173265364,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Waasland-Beveren,WAA,65.09,46.88,0.0,37.87878787878788,63.27,40.12,0.0,13.636363636363637,0.5569812795881611,0.2880554482703916,0.2360067315051621,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KV Oostende,OOS,64.82,46.88,0.0,37.87878787878788,68.0,47.38,0.0,32.0,0.3813502332926588,0.2946177794674475,0.4034543613235599,-1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,Royal Excel Mouscron,MOP,64.82,46.88,0.0,37.87878787878788,64.82,46.88,0.0,27.27272727272728,0.4646969503054208,0.2872573248357349,0.3296700428197595,1
Belgium Jupiler League,SV Zulte-Waregem,ZUL,KSV Roeselare,ROS,64.82,46.88,0.0,37.87878787878788,64.82,46.88,0.0,50.0,0.3713266367278267,0.2767741021418762,0.4361925576303248,-1
Belgium Jupiler League,Sporting Lokeren,LOK,RSC Anderlecht,AND,67.0,52.12,0.0,42.30769230769231,72.55,53.38,0.0,56.45161290322581,0.2465598665740366,0.285693021983469,0.5443054180011693,-1
Belgium Jupiler League,Sporting Lokeren,LOK,KV Mechelen,MEC,67.64,52.12,0.0,42.30769230769231,67.09,48.38,0.0,25.806451612903224,0.4943153284505602,0.2814525203558276,0.3011590875292713,1
Belgium Jupiler League,Sporting Lokeren,LOK,Standard de Liège,STL,67.27,52.38,0.0,42.30769230769231,67.91,59.38,0.0,30.76923076923077,0.4504492530306235,0.2827765759333943,0.3440160546682983,1
Belgium Jupiler League,Sporting Lokeren,LOK,Beerschot AC,BAC,67.27,52.38,0.0,42.30769230769231,63.82,49.12,0.0,10.526315789473683,0.6158319879814864,0.2798426182183344,0.1827361199866423,1
